TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,CLEAN_ORDER_DATE,MONTH_NAME,DAY_NAME,TIME_BUCKET,PIZZA_CATEGORY,PIZZA_NAME,PIZZA_SIZE
18.50,1.00,1,2015-01-01,Jan,Thu,Morning,Veggie,The Five Cheese Pizza,L
16.75,1.00,1,2015-01-01,Jan,Thu,Afternoon,Chicken,The California Chicken Pizza,M
12.00,1.00,1,2015-01-01,Jan,Thu,Afternoon,Classic,The Greek Pizza,S
12.50,1.00,1,2015-01-01,Jan,Thu,Afternoon,Classic,The Pepperoni Pizza,M
16.00,1.00,1,2015-01-01,Jan,Thu,Afternoon,Classic,The Classic Deluxe Pizza,M
16.50,1.00,1,2015-01-01,Jan,Thu,Afternoon,Supreme,The Italian Supreme Pizza,M
10.50,1.00,1,2015-01-01,Jan,Thu,Evening,Classic,The Hawaiian Pizza,S
16.75,1.00,1,2015-01-01,Jan,Thu,Evening,Chicken,The Southwest Chicken Pizza,M
16.00,1.00,1,2015-01-01,Jan,Thu,Late Night,Classic,The Italian Capocollo Pizza,M
16.50,1.00,1,2015-01-01,Jan,Thu,Afternoon,Supreme,The Italian Supreme Pizza,M
20.75,1.00,1,2015-01-01,Jan,Thu,Afternoon,Supreme,The Spicy Italian Pizza,L
20.75,1.00,1,2015-01-01,Jan,Thu,Afternoon,Chicken,The Thai Chicken Pizza,L
16.50,1.00,1,2015-01-01,Jan,Thu,Afternoon,Supreme,The Italian Supreme Pizza,M
16.00,1.00,1,2015-01-01,Jan,Thu,Afternoon,Classic,The Italian Capocollo Pizza,M
12.00,1.00,1,2015-01-01,Jan,Thu,Afternoon,Classic,The Classic Deluxe Pizza,S
9.75,1.00,1,2015-01-01,Jan,Thu,Afternoon,Classic,The Pepperoni Pizza,S
20.75,1.00,1,2015-01-01,Jan,Thu,Afternoon,Chicken,The Barbecue Chicken Pizza,L
17.50,1.00,1,2015-01-01,Jan,Thu,Evening,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",L
12.00,1.00,1,2015-02-01,Feb,Sun,Afternoon,Classic,The Classic Deluxe Pizza,S
20.25,1.00,1,2015-02-01,Feb,Sun,Afternoon,Supreme,The Sicilian Pizza,L
14.75,1.00,1,2015-01-01,Jan,Thu,Evening,Veggie,The Four Cheese Pizza,M
20.75,1.00,1,2015-01-01,Jan,Thu,Late Night,Chicken,The Barbecue Chicken Pizza,L
16.00,1.00,1,2015-02-01,Feb,Sun,Afternoon,Veggie,The Mexicana Pizza,M
16.75,1.00,1,2015-02-01,Feb,Sun,Afternoon,Chicken,The Barbecue Chicken Pizza,M
12.50,1.00,1,2015-02-01,Feb,Sun,Afternoon,Classic,The Pepperoni Pizza,M
16.50,1.00,1,2015-02-01,Feb,Sun,Evening,Supreme,The Prosciutto and Arugula Pizza,M
20.50,1.00,1,2015-02-01,Feb,Sun,Evening,Classic,The Classic Deluxe Pizza,L
20.75,1.00,1,2015-02-01,Feb,Sun,Evening,Supreme,The Soppressata Pizza,L
20.75,1.00,1,2015-02-01,Feb,Sun,Evening,Veggie,The Spinach Pesto Pizza,L
16.50,1.00,1,2015-02-01,Feb,Sun,Evening,Supreme,The Pepper Salami Pizza,M
12.00,1.00,1,2015-02-01,Feb,Sun,Evening,Veggie,The Spinach and Feta Pizza,S
12.00,1.00,1,2015-02-01,Feb,Sun,Evening,Classic,The Classic Deluxe Pizza,S
20.25,1.00,1,2015-02-01,Feb,Sun,Evening,Supreme,The Sicilian Pizza,L
12.00,1.00,1,2015-02-01,Feb,Sun,Evening,Classic,The Greek Pizza,S
12.00,1.00,1,2015-02-01,Feb,Sun,Late Night,Classic,The Greek Pizza,S
20.25,1.00,1,2015-03-01,Mar,Sun,Morning,Veggie,The Mediterranean Pizza,L
16.50,1.00,1,2015-03-01,Mar,Sun,Morning,Supreme,The Spicy Italian Pizza,M
20.75,1.00,1,2015-03-01,Mar,Sun,Afternoon,Supreme,The Spicy Italian Pizza,L
12.50,1.00,1,2015-03-01,Mar,Sun,Afternoon,Classic,The Pepperoni Pizza,M
15.25,1.00,1,2015-03-01,Mar,Sun,Afternoon,Classic,The Pepperoni Pizza,L
